"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2020","45.20","44.00","45.25","43.90","321.59K","3.20%"
"03/26/2020","43.80","44.10","44.25","43.75","199.42K","-0.45%"
"03/25/2020","44.00","44.30","45.00","43.00","688.93K","0.23%"
"03/24/2020","43.90","44.95","45.85","43.90","643.46K","-1.90%"
"03/23/2020","44.75","42.30","44.95","42.00","871.81K","5.79%"
"03/22/2020","42.30","42.10","43.60","42.10","380.41K","-1.86%"
"03/19/2020","43.10","42.80","43.95","42.00","1.17M","2.62%"
"03/18/2020","42.00","41.70","44.00","41.65","514.29K","1.82%"
"03/17/2020","41.25","40.20","43.00","40.00","835.71K","3.00%"
"03/16/2020","40.05","42.40","42.85","40.05","850.84K","-6.86%"
"03/15/2020","43.00","43.00","44.10","41.70","592.64K","1.42%"
"03/12/2020","42.40","42.00","43.95","39.00","1.34M","-0.24%"
"03/11/2020","42.50","42.00","44.65","40.70","1.75M","4.68%"
"03/10/2020","40.60","38.35","40.60","38.35","581.16K","9.88%"
"03/09/2020","36.95","36.50","40.55","36.50","1.22M","-8.88%"
"03/08/2020","40.55","43.00","43.00","40.00","456.51K","-8.05%"
"03/05/2020","44.10","44.35","44.80","44.05","356.04K","0.11%"
"03/04/2020","44.05","43.80","44.25","43.40","371.27K","0.11%"
"03/03/2020","44.00","44.10","44.10","43.60","314.32K","2.09%"
"03/02/2020","43.10","45.20","45.60","43.10","862.78K","-3.79%"
"03/01/2020","44.80","45.50","45.50","44.05","520.97K","-2.18%"
"02/27/2020","45.80","46.10","46.45","45.60","702.61K","-0.33%"
"02/26/2020","45.95","45.60","46.20","45.60","686.94K","-1.50%"
"02/25/2020","46.65","46.90","47.10","46.40","479.41K","-0.96%"
"02/24/2020","47.10","47.80","47.85","47.10","518.54K","-1.05%"
"02/23/2020","47.60","47.60","47.70","47.55","142.86K","0.42%"
"02/20/2020","47.40","47.75","47.85","47.40","267.95K","-0.84%"
"02/19/2020","47.80","47.10","47.80","47.05","362.40K","1.06%"
"02/18/2020","47.30","47.25","47.40","47.00","235.27K","0.11%"
"02/17/2020","47.25","46.70","47.45","46.70","581.26K","1.18%"
"02/16/2020","46.70","47.30","47.40","46.45","405.00K","-1.37%"
"02/13/2020","47.35","47.50","47.60","47.00","607.91K","-0.42%"
"02/12/2020","47.55","47.45","47.90","47.20","481.26K","-0.52%"
"02/11/2020","47.80","48.10","48.10","47.30","419.41K","0.21%"
"02/10/2020","47.70","47.50","47.80","47.40","387.26K","0.95%"
"02/09/2020","47.25","48.00","48.10","47.05","428.38K","-1.15%"
"02/06/2020","47.80","47.50","47.80","47.45","537.11K","1.16%"
"02/05/2020","47.25","47.40","47.55","47.20","514.79K","0.21%"
"02/04/2020","47.15","47.40","47.40","47.15","438.92K","0.00%"
"02/03/2020","47.15","47.55","47.60","47.15","401.35K","-0.42%"
"02/02/2020","47.35","47.60","47.60","47.00","197.14K","-0.32%"
"01/30/2020","47.50","47.55","47.60","47.20","391.95K","0.00%"
"01/29/2020","47.50","47.30","47.60","47.20","359.13K","0.42%"
"01/28/2020","47.30","47.70","47.75","47.05","247.95K","0.53%"
"01/27/2020","47.05","47.80","48.10","47.05","304.74K","-1.57%"
"01/26/2020","47.80","48.00","48.00","47.75","290.25K","-1.04%"
"01/23/2020","48.30","48.65","48.75","48.20","354.44K","-0.82%"
"01/22/2020","48.70","48.65","49.15","48.65","227.59K","-0.20%"
"01/21/2020","48.80","49.00","49.05","48.80","161.97K","-0.51%"
"01/20/2020","49.05","48.80","49.15","48.70","704.72K","0.10%"
"01/19/2020","49.00","49.00","49.15","48.55","347.42K","-0.91%"
"01/16/2020","49.45","49.10","49.45","49.10","271.73K","-0.10%"
"01/15/2020","49.50","49.75","49.80","49.30","406.47K","-0.50%"
"01/14/2020","49.75","49.50","49.80","49.20","536.19K","0.61%"
"01/13/2020","49.45","48.70","49.45","48.70","318.47K","1.23%"
"01/12/2020","48.85","48.70","48.90","48.55","131.82K","0.51%"
"01/09/2020","48.60","48.30","48.70","48.30","372.25K","1.99%"
"01/08/2020","47.65","47.50","47.95","47.50","309.88K","-1.04%"
"01/07/2020","48.15","48.40","48.40","47.90","400.73K","0.42%"
"01/06/2020","47.95","48.50","48.50","47.60","602.88K","-1.13%"
